date,prcp,station
2016-08-24,2.0,USC00519397
2016-08-25,2.0,USC00519397
2016-08-26,0.0,USC00519397
2016-08-27,0.0,USC00519397
2016-08-28,0.3,USC00519397
2016-08-29,0.0,USC00519397
2016-08-30,0.0,USC00519397
2016-08-31,3.3,USC00519397
2016-09-01,0.0,USC00519397
2016-09-02,0.0,USC00519397
2016-09-03,0.0,USC00519397
2016-09-04,0.8,USC00519397
2016-09-05,,USC00519397
2016-09-06,,USC00519397
2016-09-07,1.3,USC00519397
2016-09-08,0.0,USC00519397
2016-09-09,0.8,USC00519397
2016-09-10,0.0,USC00519397
2016-09-11,1.3,USC00519397
2016-09-12,0.0,USC00519397
2016-09-13,0.5,USC00519397
2016-09-14,33.5,USC00519397
2016-09-15,10.7,USC00519397
2016-09-16,1.5,USC00519397
2016-09-17,1.3,USC00519397
2016-09-18,0.0,USC00519397
2016-09-19,0.0,USC00519397
2016-09-20,0.0,USC00519397
2016-09-21,0.0,USC00519397
2016-09-22,0.5,USC00519397
2016-09-23,0.0,USC00519397
2016-09-24,0.0,USC00519397
2016-09-25,0.0,USC00519397
2016-09-26,1.5,USC00519397
2016-09-27,0.5,USC00519397
2016-09-28,0.0,USC00519397
2016-09-29,0.0,USC00519397
2016-09-30,0.0,USC00519397
2016-10-01,0.0,USC00519397
2016-10-02,0.0,USC00519397
2016-10-03,0.0,USC00519397
2016-10-04,0.0,USC00519397
2016-10-05,0.0,USC00519397
2016-10-06,0.0,USC00519397
2016-10-07,0.0,USC00519397
2016-10-08,0.0,USC00519397
2016-10-09,0.0,USC00519397
2016-10-10,0.0,USC00519397
2016-10-11,0.0,USC00519397
2016-10-12,0.0,USC00519397
2016-10-13,0.0,USC00519397
2016-10-14,0.0,USC00519397
2016-10-15,0.0,USC00519397
2016-10-16,0.0,USC00519397
2016-10-17,0.3,USC00519397
2016-10-18,0.0,USC00519397
2016-10-19,0.0,USC00519397
2016-10-20,0.0,USC00519397
2016-10-21,1.3,USC00519397
2016-10-22,3.8,USC00519397
2016-10-23,0.3,USC00519397
2016-10-24,0.0,USC00519397
2016-10-25,0.8,USC00519397
2016-10-26,0.0,USC00519397
2016-10-27,0.0,USC00519397
2016-10-28,0.0,USC00519397
2016-10-29,0.0,USC00519397
2016-10-30,6.1,USC00519397
2016-10-31,0.8,USC00519397
2016-11-01,0.0,USC00519397
2016-11-02,0.0,USC00519397
2016-11-03,0.0,USC00519397
2016-11-04,0.0,USC00519397
2016-11-05,0.0,USC00519397
2016-11-06,0.0,USC00519397
2016-11-07,0.0,USC00519397
2016-11-08,1.8,USC00519397
